Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,3,1,2,2,1,0,1,0.333333,0.5,0.0,0.4,,,,
INDEL,PASS,3,1,2,2,1,0,1,0.333333,0.5,0.0,0.4,,,,
SNP,ALL,0,0,0,5,5,0,3,0.0,0.0,0.0,,,1.5,,
SNP,PASS,0,0,0,5,5,0,3,0.0,0.0,0.0,,,1.5,,
