Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,1,0,1,2,2,0,1,0.0,0.0,0.0,,,,,
INDEL,PASS,1,0,1,2,2,0,1,0.0,0.0,0.0,,,,,
SNP,ALL,7,3,4,3,0,0,0,0.428571,1.0,0.0,0.6,,,2.5,0.5
SNP,PASS,7,3,4,3,0,0,0,0.428571,1.0,0.0,0.6,,,2.5,0.5
