Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,5,5,0,3,0,0,0,1.0,1.0,0.0,1.0,,,2.0,0.5
INDEL,PASS,5,5,0,3,0,0,0,1.0,1.0,0.0,1.0,,,2.0,0.5
SNP,ALL,8,4,4,8,0,0,0,0.5,1.0,0.0,0.666667,,,,7.0
SNP,PASS,8,4,4,8,0,0,0,0.5,1.0,0.0,0.666667,,,,7.0
